Id,Churn,Genero,Tiene +60,Posee_pareja,Posee_dependientes,Tiempo_contrato,Servicio_telefono,Multiples_lineas,Tipo_internet,Seguridad_online,Backup_online,Proteccion_dispositivo,Soporte_tecnico,Streaming_tv,Streaming_peliculas,Tipo_contrato,Factura_digital,Metodo_pago,Valor_mensual,Total_cobrado,Cuentas_Diarias
2522-AHJXR,No,Masculino,0,Si,No,60,Si,Si,Fibra optica,Si,No,Si,Si,Si,Si,Mes a mes,Si,Transferencia bancaria,109.45,6572.85,3.65
2522-WLNSF,No,Femenino,1,Si,No,34,Si,No,DSL,No,No,Si,Si,Si,No,Un año,No,Transferencia bancaria,64.2,2106.3,2.14
2523-EWWZL,No,Femenino,0,Si,No,27,Si,No,Fibra optica,No,Si,No,No,No,No,Mes a mes,Si,Cheque electrónico,76.1,2093.4,2.54
2525-GVKQU,No,Femenino,0,No,No,60,Si,No,No,No,No,No,No,No,No,Dos años,No,Cheque por correo,20.6,1093.0,0.69
2528-HFYZX,Si,Masculino,1,Si,No,17,Si,No,Fibra optica,No,Si,No,No,No,No,Mes a mes,Si,Cheque electrónico,76.45,1233.4,2.55
2530-ENDWQ,Si,Femenino,0,Si,No,71,Si,Si,Fibra optica,No,No,No,No,Si,Si,Dos años,Si,Transferencia bancaria,93.7,6585.35,3.12
2530-FMFXO,No,Masculino,0,Si,Si,56,Si,Si,Fibra optica,No,No,Si,Si,Si,Si,Dos años,Si,Cheque electrónico,103.2,5873.75,3.44
2533-QVMSK,Si,Masculino,0,Si,No,61,Si,Si,Fibra optica,No,Si,No,Si,Si,No,Dos años,Si,Cheque electrónico,94.1,5638.3,3.14
2533-TIBIX,No,Masculino,0,Si,Si,15,No,No,DSL,Si,No,No,No,No,No,Mes a mes,Si,Transferencia bancaria,30.2,469.65,1.01
2535-PBCGC,No,Femenino,0,Si,No,70,No,No,DSL,Si,Si,Si,Si,Si,Si,Dos años,No,Transferencia bancaria,64.55,4504.9,2.15
2538-OIMXF,No,Femenino,0,No,Si,1,No,No,DSL,No,No,No,No,No,No,Mes a mes,No,Cheque por correo,24.7,24.7,0.82
2541-YGPKE,No,Masculino,0,Si,Si,42,Si,No,DSL,Si,No,No,Si,No,Si,Un año,No,Tarjeta de crédito,63.7,2763.35,2.12
2542-HYGIQ,No,Femenino,0,No,No,1,Si,No,No,No,No,No,No,No,No,Mes a mes,No,Tarjeta de crédito,19.95,19.95,0.66
2545-EBUPK,No,Femenino,1,No,No,2,Si,Si,Fibra optica,No,No,No,No,No,Si,Mes a mes,Si,Cheque electrónico,84.05,186.05,2.8
2545-LXYVJ,No,Masculino,0,Si,No,72,Si,No,No,No,No,No,No,No,No,Dos años,No,Transferencia bancaria,20.7,1492.1,0.69
2546-KZAAT,No,Masculino,0,Si,No,52,Si,No,DSL,Si,Si,No,No,Si,Si,Un año,Si,Cheque por correo,75.4,3865.45,2.51
2550-AEVRU,No,Femenino,0,Si,Si,57,Si,No,DSL,Si,Si,No,No,No,No,Un año,No,Cheque electrónico,53.45,3053.0,1.78
2550-QHZGP,No,Masculino,0,No,No,7,Si,No,No,No,No,No,No,No,No,Un año,No,Cheque por correo,19.5,128.6,0.65
2558-BUOZZ,No,Masculino,0,No,No,47,Si,Si,Fibra optica,Si,Si,No,No,Si,No,Un año,No,Transferencia bancaria,94.8,4535.85,3.16
2560-PPCHE,No,Femenino,0,No,No,65,Si,Si,Fibra optica,No,Si,No,Si,Si,Si,Un año,Si,Transferencia bancaria,105.05,6744.25,3.5
2560-QTSBS,No,Femenino,0,Si,Si,72,Si,Si,No,No,No,No,No,No,No,Un año,Si,Transferencia bancaria,23.3,1623.15,0.78
2560-WBWXF,No,Masculino,0,No,No,68,Si,Si,No,No,No,No,No,No,No,Dos años,Si,Transferencia bancaria,24.15,1498.85,0.8
2565-JSLRY,Si,Masculino,0,No,No,1,Si,Si,No,No,No,No,No,No,No,Mes a mes,Si,Cheque por correo,24.05,24.05,0.8
2568-BRGYX,Si,Masculino,0,No,No,4,Si,No,Fibra optica,No,No,No,No,No,No,Mes a mes,Si,Cheque electrónico,70.2,237.95,2.34
2568-OIADY,Si,Femenino,0,Si,No,37,Si,Si,Fibra optica,No,No,Si,No,Si,Si,Mes a mes,Si,Cheque electrónico,99.5,3762.0,3.32
2569-WGERO,No,Femenino,0,No,No,72,Si,No,No,No,No,No,No,No,No,Dos años,Si,Transferencia bancaria,21.15,1419.4,0.7
2573-GYRUU,No,Masculino,1,Si,No,48,Si,Si,Fibra optica,No,No,Si,No,No,Si,Mes a mes,Si,Tarjeta de crédito,91.05,4370.75,3.03
2575-GFSOE,Si,Femenino,0,Si,Si,7,Si,No,Fibra optica,No,No,No,No,No,No,Mes a mes,Si,Cheque electrónico,69.0,506.9,2.3
2576-HXMPA,No,Femenino,0,No,No,1,Si,No,No,No,No,No,No,No,No,Mes a mes,No,Tarjeta de crédito,19.55,19.55,0.65
2577-GVSIL,No,Masculino,0,Si,Si,35,Si,Si,DSL,No,No,No,Si,Si,Si,Un año,Si,Transferencia bancaria,73.45,2661.1,2.45
2578-JQPHZ,No,Masculino,0,No,No,44,Si,No,Fibra optica,No,No,Si,Si,Si,Si,Dos años,No,Transferencia bancaria,100.1,4378.35,3.34
2580-ASVVY,No,Femenino,0,Si,No,37,No,No,DSL,Si,No,No,Si,Si,No,Dos años,No,Cheque electrónico,45.4,1593.1,1.51
2580-ATZSQ,No,Femenino,0,Si,Si,65,Si,No,DSL,Si,Si,Si,No,No,No,Un año,No,Transferencia bancaria,61.35,3874.1,2.04
2581-VKIRT,No,Femenino,0,Si,Si,59,Si,Si,DSL,Si,Si,No,Si,No,No,Un año,No,Cheque por correo,65.5,3801.3,2.18
2582-FFFZR,No,Femenino,0,No,No,22,No,No,DSL,No,No,Si,No,Si,Si,Mes a mes,Si,Cheque electrónico,50.6,1073.3,1.69
2585-KTFRE,No,Masculino,0,No,Si,1,Si,No,DSL,Si,Si,No,Si,No,Si,Mes a mes,Si,Transferencia bancaria,70.45,70.45,2.35
2586-CWXVV,No,Masculino,0,Si,No,54,No,No,DSL,No,Si,No,No,No,No,Mes a mes,No,Cheque electrónico,30.4,1621.35,1.01
2587-EKXTS,No,Masculino,0,No,No,44,Si,Si,Fibra optica,Si,Si,Si,No,Si,Si,Mes a mes,Si,Cheque electrónico,111.5,4915.15,3.72
2587-YNLES,No,Femenino,0,Si,Si,6,Si,No,No,No,No,No,No,No,No,Dos años,No,Cheque por correo,20.1,100.35,0.67
2589-AYCRP,No,Femenino,0,No,No,50,Si,No,No,No,No,No,No,No,No,Un año,No,Transferencia bancaria,19.75,989.05,0.66
2592-HODOV,No,Masculino,0,No,No,13,Si,No,No,No,No,No,No,No,No,Un año,No,Tarjeta de crédito,19.3,259.65,0.64
2592-SEIFQ,Si,Masculino,0,No,No,3,No,No,DSL,No,No,No,No,No,No,Mes a mes,No,Cheque electrónico,24.75,66.95,0.82
2592-YKDIF,No,Femenino,0,No,No,1,Si,No,No,No,No,No,No,No,No,Mes a mes,No,Cheque por correo,20.35,20.35,0.68
2595-KIWPV,No,Masculino,0,No,Si,27,Si,No,No,No,No,No,No,No,No,Dos años,No,Tarjeta de crédito,19.7,509.3,0.66
2599-CIPQE,No,Masculino,0,Si,Si,71,Si,No,Fibra optica,Si,Si,Si,Si,Si,Si,Dos años,No,Tarjeta de crédito,109.3,7782.85,3.64
2599-CZABP,No,Masculino,0,Si,No,14,Si,No,DSL,No,No,No,No,No,No,Un año,No,Cheque electrónico,44.6,641.25,1.49
2603-HVKCG,No,Masculino,0,No,No,31,Si,No,Fibra optica,No,Si,Si,No,Si,Si,Mes a mes,Si,Cheque electrónico,101.4,3143.65,3.38
2604-IJPDU,No,Femenino,0,Si,No,20,Si,No,Fibra optica,Si,Si,No,Si,Si,No,Mes a mes,Si,Cheque electrónico,96.55,1901.65,3.22
2604-XVDAM,No,Femenino,0,No,No,12,Si,No,DSL,No,No,No,No,No,No,Mes a mes,No,Transferencia bancaria,43.8,540.95,1.46
2606-PKWJB,No,Masculino,0,No,Si,40,No,No,DSL,Si,Si,No,Si,No,No,Un año,No,Cheque por correo,40.25,1564.05,1.34
2606-RMDHZ,Si,Masculino,0,No,No,6,No,No,DSL,No,Si,No,No,No,No,Mes a mes,Si,Tarjeta de crédito,30.5,208.7,1.02
2607-DHDAK,No,Masculino,0,Si,Si,72,Si,No,No,No,No,No,No,No,No,Dos años,Si,Tarjeta de crédito,19.8,1414.65,0.66
2607-FBDFF,No,Masculino,0,No,No,1,Si,No,DSL,No,No,No,Si,No,No,Mes a mes,No,Tarjeta de crédito,49.0,49.0,1.63
2608-BHKFN,Si,Femenino,0,No,No,4,Si,No,Fibra optica,No,No,No,No,No,No,Mes a mes,Si,Tarjeta de crédito,70.05,266.9,2.34
2609-IAICY,Si,Femenino,0,No,No,1,Si,Si,Fibra optica,No,No,No,No,No,No,Mes a mes,Si,Cheque electrónico,77.15,77.15,2.57
2612-PHGOX,No,Masculino,0,Si,No,64,Si,Si,DSL,No,Si,Si,Si,Si,No,Dos años,Si,Transferencia bancaria,76.1,4818.8,2.54
2612-RANWT,Si,Femenino,0,No,No,12,Si,Si,Fibra optica,No,No,Si,No,Si,Si,Mes a mes,Si,Transferencia bancaria,100.15,1164.3,3.34
2612-RRIDN,Si,Masculino,0,No,No,4,Si,No,Fibra optica,No,No,No,No,Si,No,Mes a mes,Si,Cheque electrónico,81.0,340.85,2.7
2615-YVMYX,No,Masculino,1,Si,No,71,Si,Si,Fibra optica,Si,Si,Si,No,Si,Si,Mes a mes,Si,Cheque electrónico,107.5,7713.55,3.58
2616-FLVQC,No,Masculino,0,No,No,64,Si,No,No,No,No,No,No,No,No,Dos años,No,Cheque por correo,19.55,1240.15,0.65
2616-UUTFK,No,Masculino,0,Si,No,33,Si,Si,DSL,Si,Si,Si,No,Si,No,Mes a mes,Si,Transferencia bancaria,72.75,2447.45,2.42
2619-WFQWU,Si,Femenino,0,No,No,1,Si,No,Fibra optica,No,No,No,No,No,No,Mes a mes,Si,Cheque por correo,70.15,70.15,2.34
2621-UDNLU,No,Femenino,0,Si,No,3,Si,No,No,No,No,No,No,No,No,Mes a mes,No,Cheque por correo,20.85,72.0,0.7
2623-DRYAM,No,Femenino,0,Si,No,70,Si,Si,Fibra optica,No,No,Si,No,Si,Si,Un año,Si,Cheque electrónico,101.75,7069.3,3.39
2625-TRCZQ,No,Femenino,0,Si,No,51,No,No,DSL,No,Si,No,No,Si,Si,Mes a mes,Si,Cheque electrónico,49.65,2553.35,1.66
2626-URJFX,Si,Masculino,0,Si,Si,4,Si,Si,DSL,No,No,No,No,No,No,Mes a mes,Si,Cheque electrónico,50.9,225.6,1.7
2626-VEEWG,No,Masculino,0,Si,Si,67,Si,No,No,No,No,No,No,No,No,Dos años,Si,Tarjeta de crédito,19.4,1284.2,0.65
2632-IVXVF,No,Femenino,0,Si,Si,68,Si,Si,Fibra optica,Si,No,Si,Si,Si,Si,Dos años,No,Tarjeta de crédito,111.75,7511.3,3.72
2632-TACXW,No,Femenino,0,Si,No,62,Si,Si,No,No,No,No,No,No,No,Dos años,No,Transferencia bancaria,23.65,1416.75,0.79
2632-UCGVD,Si,Masculino,1,Si,No,66,Si,Si,Fibra optica,No,No,No,Si,Si,Si,Mes a mes,Si,Tarjeta de crédito,100.05,6871.9,3.34
2634-HCZGT,Si,Masculino,1,Si,No,53,Si,Si,DSL,Si,No,No,Si,No,No,Un año,Si,Cheque electrónico,60.05,3229.65,2.0
2636-ALXXZ,Si,Femenino,1,No,No,1,Si,No,Fibra optica,No,No,No,No,No,No,Mes a mes,Si,Cheque electrónico,69.6,69.6,2.32
2636-OHFMN,Si,Masculino,0,Si,No,4,No,No,DSL,No,Si,No,No,Si,Si,Mes a mes,Si,Cheque electrónico,48.55,201.0,1.62
2636-SJDOU,No,Masculino,0,No,No,64,Si,Si,Fibra optica,Si,Si,No,No,No,No,Un año,Si,Tarjeta de crédito,84.3,5289.05,2.81
2637-FKFSY,No,Femenino,0,Si,No,3,Si,No,DSL,No,No,No,No,No,No,Mes a mes,Si,Cheque por correo,46.1,130.15,1.54
2639-UGMAZ,No,Masculino,1,No,No,71,No,No,DSL,Si,Si,No,No,Si,Si,Un año,Si,Cheque electrónico,56.45,3985.35,1.88
2640-LYMOV,No,Masculino,0,No,No,2,Si,No,No,No,No,No,No,No,No,Mes a mes,Si,Cheque por correo,19.65,38.8,0.65
2640-PMGFL,Si,Masculino,0,No,Si,27,Si,Si,Fibra optica,No,No,No,Si,No,No,Mes a mes,Si,Cheque electrónico,79.5,2180.55,2.65
2642-DTVCO,Si,Masculino,1,No,No,9,Si,Si,Fibra optica,No,No,No,No,No,Si,Mes a mes,Si,Cheque electrónico,85.05,746.5,2.84
2642-MAWLJ,No,Femenino,0,Si,Si,36,Si,No,No,No,No,No,No,No,No,Dos años,No,Transferencia bancaria,20.25,717.95,0.68
2645-QTLMB,Si,Masculino,0,No,No,7,Si,No,Fibra optica,No,Si,No,No,Si,Si,Mes a mes,Si,Cheque electrónico,94.25,669.0,3.14
2649-HWLYB,No,Masculino,0,Si,No,65,Si,Si,DSL,Si,No,Si,Si,No,Si,Dos años,No,Transferencia bancaria,76.15,4929.55,2.54
2650-GYRYL,No,Masculino,0,Si,Si,33,Si,No,No,No,No,No,No,No,No,Un año,Si,Transferencia bancaria,19.45,600.25,0.65
2651-ZCBXV,No,Masculino,0,No,No,54,Si,Si,Fibra optica,Si,Si,No,Si,Si,Si,Dos años,Si,Tarjeta de crédito,108.0,5760.65,3.6
2654-VBVPB,No,Femenino,0,No,No,1,Si,No,No,No,No,No,No,No,No,Mes a mes,No,Transferencia bancaria,19.9,19.9,0.66
2656-FMOKZ,Si,Femenino,1,No,No,15,Si,Si,Fibra optica,No,No,No,No,No,No,Mes a mes,Si,Cheque por correo,74.45,1145.7,2.48
2656-TABEH,Si,Masculino,0,Si,No,4,Si,Si,Fibra optica,No,Si,No,No,Si,Si,Mes a mes,Si,Cheque electrónico,100.2,420.2,3.34
2657-ALMWY,Si,Femenino,1,Si,No,26,Si,No,Fibra optica,No,Si,No,No,No,Si,Mes a mes,No,Cheque electrónico,84.95,2169.75,2.83
2657-VPXTA,No,Femenino,0,Si,Si,10,Si,No,Fibra optica,No,No,No,No,Si,Si,Mes a mes,Si,Cheque electrónico,88.85,929.45,2.96
2659-VXMWZ,Si,Masculino,0,Si,Si,67,Si,Si,Fibra optica,Si,Si,Si,No,Si,Si,Un año,Si,Cheque electrónico,111.3,7482.1,3.71
2660-EMUBI,Si,Masculino,1,No,No,10,Si,Si,Fibra optica,No,No,No,No,Si,Si,Mes a mes,Si,Cheque electrónico,95.35,898.35,3.18
2661-GKBTK,No,Masculino,0,Si,Si,60,Si,No,DSL,No,Si,No,Si,Si,Si,Dos años,No,Transferencia bancaria,76.95,4543.95,2.56
2662-NNTDK,No,Masculino,0,No,No,65,Si,Si,No,No,No,No,No,No,No,Un año,No,Tarjeta de crédito,24.8,1600.95,0.83
2664-XJZNO,No,Masculino,0,Si,Si,72,Si,No,Fibra optica,Si,No,Si,Si,Si,Si,Dos años,Si,Tarjeta de crédito,104.9,7559.55,3.5
2665-NPTGL,No,Femenino,1,Si,No,26,Si,Si,Fibra optica,No,No,Si,No,Si,Si,Mes a mes,Si,Transferencia bancaria,98.1,2510.7,3.27
2667-WYLWJ,Si,Femenino,0,Si,Si,8,Si,No,No,No,No,No,No,No,No,Un año,Si,Cheque por correo,19.75,145.0,0.66
2668-TZSPS,No,Masculino,0,No,No,1,Si,No,No,No,No,No,No,No,No,Mes a mes,No,Cheque por correo,20.45,20.45,0.68
2669-OIDSD,No,Femenino,0,Si,No,48,Si,No,Fibra optica,No,No,Si,Si,Si,Si,Mes a mes,Si,Tarjeta de crédito,100.05,4834.0,3.34
2669-QVCRG,No,Femenino,0,No,No,41,Si,Si,Fibra optica,Si,No,No,No,No,No,Mes a mes,Si,Tarjeta de crédito,81.3,3190.65,2.71
2672-DZUOY,Si,Masculino,0,No,No,1,No,No,DSL,No,No,No,No,No,No,Mes a mes,Si,Cheque electrónico,25.15,25.15,0.84
2672-HUYVI,Si,Femenino,0,No,No,6,Si,No,Fibra optica,No,No,No,No,Si,Si,Mes a mes,Si,Cheque electrónico,91.1,455.3,3.04
2672-OJQZP,No,Femenino,0,No,No,1,Si,No,DSL,No,No,No,No,No,No,Mes a mes,No,Cheque por correo,44.75,44.75,1.49
2672-TGEFF,No,Femenino,0,Si,Si,37,Si,Si,Fibra optica,No,Si,No,No,Si,No,Mes a mes,Si,Cheque electrónico,88.8,3340.55,2.96
2673-CXQEU,No,Femenino,1,No,No,56,Si,Si,Fibra optica,Si,Si,Si,No,Si,Si,Un año,No,Cheque electrónico,110.5,6139.5,3.68
2673-ZALNP,No,Femenino,0,No,No,7,Si,No,No,No,No,No,No,No,No,Un año,No,Cheque por correo,19.9,173.15,0.66
2674-MIAHT,No,Femenino,0,No,No,4,Si,Si,Fibra optica,No,Si,No,No,No,No,Mes a mes,Si,Cheque por correo,80.3,324.2,2.68
2674-MLXMN,No,Femenino,1,No,No,71,Si,Si,Fibra optica,No,Si,No,No,Si,Si,Mes a mes,Si,Tarjeta de crédito,99.65,6951.15,3.32
2675-DHUTR,No,Masculino,1,Si,No,58,Si,Si,Fibra optica,No,Si,No,No,Si,Si,Mes a mes,Si,Cheque electrónico,98.9,5780.7,3.3
2675-IJRGJ,No,Masculino,0,No,No,53,Si,No,No,No,No,No,No,No,No,Dos años,No,Transferencia bancaria,19.65,978.0,0.65
2675-OTVVJ,No,Masculino,1,Si,No,31,Si,Si,Fibra optica,Si,No,No,No,Si,No,Mes a mes,No,Cheque electrónico,89.45,2807.65,2.98
2676-ISHSF,No,Masculino,0,No,No,1,Si,No,No,No,No,No,No,No,No,Mes a mes,No,Cheque por correo,20.3,20.3,0.68
2676-OXPPQ,No,Masculino,0,No,No,6,Si,No,DSL,Si,Si,No,No,No,No,Mes a mes,Si,Transferencia bancaria,55.7,335.65,1.86
2676-SSLTO,No,Masculino,0,No,No,49,Si,Si,DSL,No,No,No,Si,Si,No,Dos años,Si,Transferencia bancaria,66.15,3199.0,2.2
2680-XKKNJ,No,Femenino,0,No,No,8,Si,No,DSL,Si,Si,No,Si,No,No,Un año,No,Transferencia bancaria,58.2,469.25,1.94
2682-KEVRP,No,Femenino,1,No,No,22,Si,No,No,No,No,No,No,No,No,Un año,Si,Cheque por correo,20.05,417.0,0.67
2683-BPJSO,Si,Masculino,0,Si,No,29,Si,Si,Fibra optica,Si,Si,No,No,No,No,Mes a mes,Si,Cheque electrónico,84.45,2467.1,2.82
2683-JXWQQ,No,Masculino,0,Si,Si,61,No,No,DSL,Si,No,Si,No,No,No,Mes a mes,No,Transferencia bancaria,33.6,2117.2,1.12
2684-EIWEO,Si,Femenino,1,No,No,30,Si,Si,Fibra optica,Si,Si,Si,No,No,No,Mes a mes,No,Tarjeta de crédito,91.7,2758.15,3.06
2685-SREOM,Si,Femenino,0,Si,Si,25,Si,Si,Fibra optica,No,No,Si,No,No,Si,Mes a mes,Si,Cheque electrónico,89.1,2368.4,2.97
2688-BHGOG,No,Masculino,1,No,No,9,Si,No,Fibra optica,No,No,No,No,No,Si,Mes a mes,Si,Cheque electrónico,79.55,718.55,2.65
2690-DVRVK,No,Masculino,0,Si,Si,5,Si,No,No,No,No,No,No,No,No,Un año,No,Cheque electrónico,20.55,99.45,0.68
2691-NZETQ,Si,Masculino,0,No,No,9,Si,Si,Fibra optica,No,No,No,No,Si,No,Mes a mes,Si,Cheque electrónico,85.35,758.6,2.84
2692-AQCPF,No,Femenino,0,Si,No,65,Si,Si,Fibra optica,No,Si,Si,Si,Si,Si,Un año,Si,Tarjeta de crédito,108.05,7118.9,3.6
2692-BUCFV,No,Masculino,1,No,No,29,Si,No,Fibra optica,No,Si,Si,No,Si,Si,Mes a mes,Si,Transferencia bancaria,101.45,2948.6,3.38
2692-PFYTJ,No,Femenino,0,No,No,1,Si,Si,No,No,No,No,No,No,No,Mes a mes,Si,Cheque por correo,25.75,25.75,0.86
2694-CIUMO,No,Femenino,0,No,No,12,Si,Si,Fibra optica,No,No,No,Si,No,No,Mes a mes,Si,Tarjeta de crédito,79.55,958.25,2.65
2696-ECXKC,No,Femenino,0,Si,Si,55,Si,Si,Fibra optica,Si,No,No,No,Si,Si,Un año,No,Cheque por correo,100.9,5448.6,3.36
2696-NARTR,Si,Masculino,0,No,No,11,Si,No,Fibra optica,No,No,No,Si,No,No,Mes a mes,Si,Cheque electrónico,73.85,926.25,2.46
2696-RZVZW,No,Masculino,0,Si,No,68,Si,Si,No,No,No,No,No,No,No,Dos años,No,Tarjeta de crédito,25.05,1629.2,0.84
2697-NQBPF,No,Masculino,0,No,No,34,Si,Si,Fibra optica,No,Si,No,Si,Si,Si,Mes a mes,Si,Cheque electrónico,105.35,3540.65,3.51
2700-LUEVA,No,Masculino,0,No,No,1,Si,No,No,No,No,No,No,No,No,Mes a mes,No,Tarjeta de crédito,20.75,20.75,0.69
2703-AMTUL,No,Masculino,0,Si,Si,36,Si,No,DSL,Si,Si,No,No,No,No,Un año,No,Cheque por correo,53.65,1939.35,1.79
2706-QZIHY,No,Femenino,0,Si,No,15,Si,Si,No,No,No,No,No,No,No,Dos años,No,Cheque por correo,25.2,387.9,0.84
2709-UQGNP,No,Masculino,0,No,No,10,Si,No,DSL,Si,No,No,No,No,No,Mes a mes,Si,Cheque por correo,51.65,524.5,1.72
2710-WYVXG,No,Femenino,0,No,No,3,Si,No,DSL,Si,Si,No,Si,No,Si,Dos años,No,Cheque por correo,71.1,213.35,2.37
2712-SYWAY,No,Femenino,0,No,No,1,Si,Si,No,No,No,No,No,No,No,Mes a mes,Si,Cheque electrónico,25.7,25.7,0.86
2716-GFZOR,No,Masculino,0,Si,No,43,Si,No,Fibra optica,Si,Si,Si,No,No,No,Mes a mes,Si,Tarjeta de crédito,86.1,3551.65,2.87
2717-HVIZY,No,Femenino,0,No,Si,8,Si,No,No,No,No,No,No,No,No,Mes a mes,No,Cheque por correo,20.05,163.6,0.67
2718-GAXQD,Si,Femenino,1,Si,Si,4,Si,No,DSL,No,No,No,No,No,No,Mes a mes,No,Cheque electrónico,46.0,181.6,1.53
2718-YSKCS,No,Masculino,0,Si,Si,71,Si,No,No,No,No,No,No,No,No,Dos años,Si,Transferencia bancaria,19.6,1387.45,0.65
2719-BDAQO,Si,Masculino,0,No,No,17,Si,No,Fibra optica,Si,No,No,No,Si,Si,Mes a mes,No,Cheque electrónico,93.85,1625.65,3.13
2720-FVBQP,No,Femenino,0,Si,Si,6,Si,Si,DSL,No,No,No,No,No,No,Mes a mes,Si,Tarjeta de crédito,48.95,273.25,1.63
2720-WGKHP,Si,Masculino,1,No,No,2,Si,Si,Fibra optica,No,No,No,No,Si,Si,Mes a mes,Si,Cheque electrónico,94.0,181.7,3.13
2722-JMONI,Si,Femenino,1,Si,No,1,Si,No,DSL,Si,No,No,No,No,No,Mes a mes,Si,Cheque electrónico,49.55,49.55,1.65
2722-VOJQL,Si,Masculino,0,No,No,64,Si,Si,Fibra optica,No,Si,No,Si,Si,Si,Un año,Si,Tarjeta de crédito,105.65,6903.1,3.52
2724-FJDYW,No,Masculino,0,No,Si,39,No,No,DSL,No,No,Si,Si,Si,Si,Un año,No,Transferencia bancaria,54.85,2191.7,1.83
2725-IWWBA,No,Masculino,0,Si,Si,46,Si,No,DSL,Si,No,Si,Si,No,No,Un año,No,Cheque por correo,56.9,2560.1,1.9
2725-KXXWT,Si,Masculino,0,Si,No,1,Si,No,Fibra optica,No,No,No,No,Si,Si,Mes a mes,Si,Cheque electrónico,90.75,90.75,3.02
2725-TTRIQ,No,Femenino,0,Si,Si,72,Si,Si,DSL,Si,No,Si,Si,Si,Si,Dos años,Si,Transferencia bancaria,84.2,5986.55,2.81
2729-VNVAP,No,Femenino,0,Si,Si,33,Si,No,No,No,No,No,No,No,No,Dos años,No,Tarjeta de crédito,19.8,641.35,0.66
2731-GJRDG,No,Femenino,0,No,No,32,Si,Si,Fibra optica,Si,No,Si,Si,Si,Si,Un año,Si,Transferencia bancaria,109.55,3608.0,3.65
2732-ISEZX,No,Femenino,0,No,No,5,Si,No,No,No,No,No,No,No,No,Mes a mes,Si,Cheque por correo,20.5,104.3,0.68
2737-WFVYW,Si,Femenino,0,No,No,2,No,No,DSL,No,No,No,No,Si,Si,Mes a mes,Si,Cheque electrónico,45.25,85.5,1.51
2737-YNGYW,Si,Femenino,0,No,No,2,Si,No,Fibra optica,No,No,No,No,No,Si,Mes a mes,No,Cheque electrónico,80.55,184.1,2.68
2739-CACDQ,No,Femenino,1,No,No,17,Si,Si,Fibra optica,No,No,Si,No,No,No,Mes a mes,Si,Tarjeta de crédito,82.65,1470.05,2.76
2739-CCZMB,No,Masculino,0,No,Si,5,Si,No,No,No,No,No,No,No,No,Mes a mes,No,Tarjeta de crédito,20.35,122.0,0.68
2740-JFBOK,No,Masculino,0,No,No,10,Si,Si,No,No,No,No,No,No,No,Mes a mes,Si,Cheque electrónico,24.0,226.55,0.8
2740-TVLFN,No,Masculino,0,No,No,1,Si,Si,DSL,No,No,No,No,No,No,Mes a mes,Si,Cheque electrónico,50.15,50.15,1.67
2746-DIJLO,No,Femenino,0,No,No,41,Si,Si,DSL,No,Si,No,No,No,No,Un año,Si,Tarjeta de crédito,56.3,2364.0,1.88
2748-MYRVK,Si,Femenino,0,No,No,63,Si,Si,Fibra optica,No,Si,No,No,Si,Si,Un año,No,Transferencia bancaria,99.9,6137.0,3.33
2749-CTKAJ,No,Masculino,0,Si,Si,22,Si,No,No,No,No,No,No,No,No,Un año,No,Cheque por correo,20.15,419.9,0.67
2750-BJLSB,No,Femenino,0,No,No,47,Si,No,Fibra optica,Si,No,Si,Si,Si,Si,Un año,Si,Cheque electrónico,103.7,4730.6,3.46
2753-JMMCV,No,Masculino,0,No,No,65,Si,Si,DSL,No,Si,Si,Si,No,Si,Dos años,Si,Tarjeta de crédito,74.2,4805.65,2.47
2754-SDJRD,No,Femenino,1,No,No,8,Si,Si,Fibra optica,No,No,No,Si,Si,Si,Mes a mes,Si,Tarjeta de crédito,100.15,908.55,3.34
2754-VDLTR,Si,Masculino,0,No,Si,10,Si,Si,Fibra optica,No,No,No,No,Si,Si,Mes a mes,No,Cheque electrónico,95.2,930.4,3.17
2754-XBHTB,Si,Femenino,0,No,No,9,Si,No,Fibra optica,No,No,No,No,Si,No,Mes a mes,Si,Transferencia bancaria,77.65,714.15,2.59
2758-RNWXS,No,Masculino,0,No,No,35,Si,No,Fibra optica,Si,No,No,Si,No,Si,Un año,Si,Cheque electrónico,89.2,3251.3,2.97
2761-OCIAX,Si,Masculino,1,No,No,2,Si,No,Fibra optica,No,Si,No,No,No,No,Mes a mes,Si,Cheque electrónico,74.7,165.4,2.49
2761-XECQW,No,Masculino,1,Si,No,8,No,No,DSL,No,Si,Si,No,No,Si,Mes a mes,Si,Cheque por correo,43.35,371.4,1.44
2770-NSVDG,No,Masculino,0,Si,No,24,No,No,DSL,No,No,Si,No,No,No,Mes a mes,No,Cheque electrónico,29.1,688.0,0.97
2773-MADBQ,No,Femenino,0,No,No,36,No,No,DSL,Si,Si,Si,Si,No,Si,Dos años,Si,Cheque por correo,53.1,1901.25,1.77
2773-OVBPK,No,Masculino,0,Si,No,67,Si,Si,Fibra optica,No,Si,Si,Si,Si,Si,Dos años,Si,Transferencia bancaria,111.3,7567.2,3.71
2774-LVQUS,Si,Femenino,1,Si,No,15,Si,Si,Fibra optica,No,No,Si,Si,No,No,Mes a mes,Si,Cheque electrónico,83.05,1258.3,2.77
